exp,,,,Error types,,,,,,pass rate by program length (short -> long),,,,,,,
Python - Java 158 programs,Pass@1(n=20),Pass@5(n=20),Pass@10(n=20),type_error,undeclared_error,other_syntax_error,assertion_error,runtime_error,unhelpful,pass (1st qt),pass (2nd qt),pass (3rd qt),pass (4th qt),Pass,src_lang,tgt_lang,shots
baseline (4 shot),0.456,0.509,0.525,0.248,0.085,0.203,0.033,0,0,0.538,0.513,0.351,0.316,0.456,py,d,4
explain -> translation (4 shot),0.487,0.541,0.555,,,,,,,,,,,,py,d,4
explain -> translation (4 shot) (java),0.459,0.513,0.529,,,,,,,,,,,0.459,py,d,4
explain (0 shot) -> translation (4 shot),0.485,0.537,0.551,0.184,0.079,0.164,0.072,0,0,0.615,0.595,0.41,0.378,0.485,py,d,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.507,0.546,0.549,,,,,,,,,,,,py,d,4
latex -> translation,,,,0.218,0.167,0.147,0.051,0.013,0,0.59,0.475,0.368,0.179,0.404,py,d,4
steps (specific) -> translation,,,,0.186,0.16,0.115,0.071,0.013,0,0.59,0.525,0.421,0.282,0.455,py,d,4
summary -> translation,,,,0.218,0.147,0.147,0.038,0.013,0,0.59,0.5,0.368,0.282,0.436,py,d,4
cot-func -> translation,,,,0.218,0.128,0.218,0.019,0,0,0.513,0.45,0.421,0.282,0.417,py,d,4
cot-func -> translation (1 shot),,,,0.192,0.122,0.218,0.058,0,0,0.462,0.475,0.395,0.308,0.41,py,d,4
cot-func -> translation 4 shot),,,,0.195,0.11,0.175,0.078,0.006,0,0.462,0.41,0.432,0.436,0.435,py,d,4
func2,,,,,,,,,,,,,,0.363,py,d,4
explain-lbl -> translation (4 shot),0.462,0.529,0.55,0.197,0.105,0.164,0.053,0.007,0,0.538,0.541,0.41,0.405,0.462,py,d,4
explain-lbl-simp -> translation (4 shot) (code frag),0.44,0.492,0.507,0.197,0.099,0.204,0.053,0.013,0,,,,,0.44,py,d,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.451,0.5,0.517,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - swift (161),,,,,,,,,,,,,,,,,
baseline (0 shot),0.644,0.721,0.752,0.037,0.081,0.143,0.05,0,0,0.829,0.75,0.625,0.55,0.644,py,swift,0
explain -> translation,0.703,0.758,0.775,0.012,0.068,0.106,0.081,0,0,0.878,0.8,0.6,0.65,0.733,py,swift,0
explain -> translation (java),0.705,0.765,0.783,,,,,,,,,,,0.705,py,swift,0
explain-lbl -> translation ,0.751,0.799,0.806,0.006,0.056,0.13,0.062,0,0,,,,,0.751,py,swift,0
explain-lbl-simp -> translation ,0.748,0.803,0.817,0.006,0.031,0.149,0.062,0,0,,,,,0.748,py,swift,0
baseline (1 shot),0.707,0.779,0.797,0.019,0.037,0.144,0.069,0,0,0.85,0.775,0.675,0.625,0.707,py,swift,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,swift,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,swift,
baseline (4 shot),0.727,0.778,0.796,0.013,0.038,0.14,0.083,0,0,0.9,0.744,0.667,0.59,0.727,py,swift,4
explain -> translation (4 shot),0.687,0.753,0.774,,,,,,,,,,,,py,swift,4
explain -> translation (4 shot) (java),0.671,0.749,0.784,,,,,,,,,,,0.671,py,swift,4
explain (0 shot) -> translation (4 shot),0.7,0.772,0.791,,,,,,,,,,,,py,swift,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.713,0.774,0.801,,,,,,,,,,,,py,swift,4
summary -> translation,,,,0.019,0.037,0.13,0.05,0,0,0.854,0.8,0.725,0.675,0.764,py,swift,
explain-lbl -> translation (4 shot),0.701,0.759,0.779,0.013,0.032,0.127,0.134,0,0,,,,,0.701,py,swift,4
explain-lbl-simp -> translation (4 shot) (code frag),0.719,0.767,0.784,0.006,0.038,0.121,0.102,0,0,,,,,0.719,py,swift,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.709,0.779,0.799,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - Scala (160),,,,,,,,,,,,,,,,,
baseline (0 shot),0.637,0.729,0.753,0.144,0.05,0.031,0.106,0.013,0,0.85,0.75,0.5,0.525,0.637,py,scala,0
explain -> translation,0.746,0.803,0.818,0.05,0.037,0.006,0.125,0.019,0,0.95,0.825,0.625,0.65,0.762,py,scala,0
explain -> translation (java),0.747,0.794,0.808,,,,,,,,,,,0.747,py,scala,0
explain-lbl -> translation ,0.745,0.793,0.806,0.062,0.037,0.025,0.119,0.0019,0,0.9,0.8,0.575,0.675,0.745,py,scala,0
explain-lbl-simp -> translation ,0.738,0.777,0.789,,,,,,,,,,,0.738,py,scala,0
baseline (1 shot),0.737,0.798,0.815,0.082,0.019,0.025,0.113,0.019,0,0.95,0.825,0.513,0.675,0.737,py,scala,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,scala,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,scala,
baseline (4 shot),0.767,0.803,0.812,0.045,0.038,0.013,0.122,0.006,0,0.95,0.795,0.641,0.711,0.767,py,scala,4
explain -> translation (4 shot),0.757,0.813,0.83,,,,,,,,,,,,py,scala,4
explain -> translation (4 shot) (java),0.737,0.788,0.805,,,,,,,,,,,0.737,py,scala,4
explain (0 shot) -> translation (4 shot),0.758,0.813,0.83,,,,,,,,,,,,py,scala,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.761,0.81,0.826,,,,,,,,,,,,py,scala,4
explain-lbl -> translation (4 shot),0.739,0.785,0.799,,,,,,,,,,,0.739,py,scala,4
explain-lbl-simp -> translation (4 shot) (code frag),0.777,0.812,0.823,0.045,0.026,0.006,0.122,0.006,0,0.925,0.821,0.641,0.789,0.777,py,scala,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.755,0.803,0.821,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - Perl (161),,,,,,,,,,,,,,,,,
baseline (0 shot),0.583,0.653,0.672,0,0.181,0.059,0.177,0,0,0.682,0.605,0.537,0.502,0.583,py,pl,0
explain -> translation,0.669,0.736,0.751,0,0.106,0.012,0.248,0,0,0.756,0.7,0.5,0.575,0.669,py,pl,0
explain -> translation (java),0.682,0.733,0.744,0,0.085,0.015,0.218,0.001,0,0.787,0.725,0.557,0.655,0.682,py,pl,0
explain-lbl -> translation ,0.653,0.715,0.734,0,0.111,0.013,0.223,0,0,0.771,0.701,0.55,0.589,0.653,py,pl,0
explain-lbl-simp -> translation ,0.629,0.688,0.714,0,0.103,0.014,0.255,0.002,0,0.752,0.681,0.536,0.532,0.629,py,pl,0
baseline (1 shot) ,,,,,,,,,,,,,,0.701,py,pl,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,pl,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,pl,
baseline (4 shot),0.698,0.769,0.789,0,0.154,0.02,0.128,0,0,0.765,0.713,0.623,0.689,0.698,py,pl,4
explain -> translation (4 shot),0.731,0.789,0.805,,,,,,,,,,,,py,pl,4
explain -> translation (4 shot) (java),0.732,0.784,0.798,0,0.119,0.004,0.146,0,0,0.904,0.813,0.587,0.619,0.732,py,pl,4
explain (0 shot) -> translation (4 shot),0.731,0.783,0.801,0,0.102,0.006,0.14,0,0,0.875,0.846,0.615,0.667,0.752,py,pl,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.716,0.758,0.774,,,,,,,,,,,,py,pl,4
explain-lbl -> translation (4 shot),0.72,0.784,0.799,0,0.131,0.008,0.141,0,0,0.939,0.756,0.577,0.604,0.72,py,pl,4
explain-lbl-simp -> translation (4 shot) (code frag),0.701,0.776,0.799,0,0.151,0.011,0.137,0,0,0.914,0.749,0.586,0.55,0.701,py,pl,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.709,0.78,0.803,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - Rust (156),,,,,,,,,,,,,,,,,
baseline (0 shot),0.706,0.794,0.822,0.034,0.077,0.125,0.042,0.015,0.001,0.805,0.809,0.525,0.679,0.706,py,rs,0
explain -> translation,0.75,0.809,0.828,0.021,0.071,0.083,0.064,0.021,0,0.828,0.828,0.596,0.701,0.75,py,rs,0
explain -> translation (java),0.748,0.801,0.813,0.021,0.071,0.083,0.064,0.021,0,0.828,0.828,0.596,0.701,0.748,py,rs,0
explain-lbl -> translation ,0.76,0.82,0.834,0.019,0.064,0.063,0.076,0.018,0,0.868,0.802,0.629,0.736,0.76,py,rs,0
explain-lbl-simp -> translation ,0.762,0.811,0.827,0.021,0.06,0.076,0.065,0.017,0,0.853,0.793,0.632,0.765,0.762,py,rs,0
baseline (1 shot) ,0.739,0.802,0.831,0.026,0.071,0.097,0.077,0.013,0,0.718,0.85,0.568,0.718,0.739,py,rs,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,rs,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,rs,
baseline (4 shot),0.764,0.826,0.847,0.028,0.028,0.064,0.103,0.013,0,0.809,0.869,0.642,0.741,0.764,py,rs,4
explain -> translation (4 shot),0.764,0.83,0.857,,,,,,,,,,,,py,rs,4
explain -> translation (4 shot) (java),0.73,0.797,0.824,0.02,0.056,0.072,0.109,0.013,0,0.815,0.819,0.612,0.677,0.73,py,rs,4
explain (0 shot) -> translation (4 shot),0.768,0.83,0.854,0.013,0.039,0.066,0.092,0.013,0,0.846,0.865,0.615,0.784,0.776,py,rs,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.745,0.795,0.814,,,,,,,,,,,,py,rs,4
explain-lbl -> translation (4 shot),0.749,0.797,0.817,0.023,0.053,0.059,0.103,0.013,0,0.828,0.82,0.623,0.727,0.749,py,rs,4
explain-lbl-simp -> translation (4 shot) (code frag),0.787,0.831,0.845,0.021,0.052,0.065,0.06,0.014,0,0.887,0.897,0.629,0.738,0.787,py,rs,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.763,0.824,0.839,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - Go,,,,,,,,,,,,,,,,,
baseline (0 shot),0.424,0.482,0.506,0,0.357,0.106,0.101,0,0.012,0.557,0.472,0.424,0.238,0.424,py,go,0
explain -> translation,0.45,0.493,0.517,0,0.396,0.032,0.117,0,0.006,0.525,0.526,0.486,0.256,0.45,py,go,0
explain -> translation (java),0.457,0.506,0.525,0,0.345,0.043,0.135,0,0.019,0.523,0.541,0.446,0.319,0.457,py,go,0
explain-lbl -> translation ,0.456,0.492,0.506,0,0.379,0.034,0.131,0,0,0.588,0.479,0.407,0.345,0.456,py,go,0
explain-lbl-simp -> translation ,0.458,0.484,0.491,0,0.394,0.045,0.101,0,0.001,0.586,0.499,0.438,0.308,0.458,py,go,0
baseline (1 shot) ,0.484,0.533,0.557,0,0.366,0.052,0.098,0,0,0.65,0.526,0.459,0.378,0.484,py,go,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,go,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,go,
baseline (4 shot),0.524,0.559,0.569,0,0.328,0.063,0.081,0,0,0.633,0.629,0.474,0.37,0.524,py,go,4
explain -> translation (4 shot),0.527,0.564,0.573,,,,,,,,,,,,py,go,4
explain -> translation (4 shot) (java),0.514,0.556,0.565,0,0.352,0.048,0.086,0,0,0.611,0.593,0.478,0.374,0.514,py,go,4
explain (0 shot) -> translation (4 shot),0.527,0.567,0.581,0,0.333,0.06,0.107,0,0,0.632,0.541,0.486,0.342,0.5,py,go,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.522,0.552,0.558,,,,,,,,,,,,py,go,4
explain-lbl -> translation (4 shot),0.508,0.553,0.57,0,0.342,0.038,0.112,0,0,0.616,0.557,0.501,0.359,0.508,py,go,4
explain-lbl-simp -> translation (4 shot) (code frag),0.516,0.554,0.561,0,0.353,0.032,0.099,0,0,0.65,0.561,0.488,0.367,0.516,py,go,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.506,0.544,0.557,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - C#,,,,,,,,,,,,,,,,,
baseline (0 shot),0.792,0.841,0.854,0.022,0.001,0.043,0.1,0.042,0,0.869,0.825,0.729,0.744,0.792,py,cs,0
explain -> translation,0.852,0.877,0.889,0.006,0,0.025,0.089,0.019,0,0.925,0.975,0.789,0.75,0.852,py,cs,0
explain -> translation (java),0.836,0.866,0.875,0.011,0,0.04,0.098,0.016,0,0.921,0.925,0.758,0.735,0.836,py,cs,0
explain-lbl -> translation ,0.838,0.865,0.874,0.004,0.003,0.024,0.111,0.019,0,0.929,0.889,0.758,0.771,0.838,py,cs,0
explain-lbl-simp -> translation ,0.827,0.846,0.859,0.006,0.005,0.032,0.103,0.028,0,0.925,0.896,0.77,0.715,0.821,py,cs,0
baseline (1 shot) ,0.835,0.878,0.889,0.006,0,0.019,0.102,0.019,0,0.925,0.95,0.763,0.769,0.835,py,cs,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,cs,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,cs,
baseline (4 shot),0.857,0.875,0.881,0.018,0,0.021,0.08,0.023,0,0.941,0.923,0.768,0.796,0.857,py,cs,4
explain -> translation (4 shot),0.829,0.842,0.844,,,,,,,,,,,,py,cs,4
explain -> translation (4 shot) (java),0.833,0.85,0.854,0.028,0.004,0.023,0.085,0.028,0,0.95,0.891,0.736,0.754,0.833,py,cs,4
explain (0 shot) -> translation (4 shot),0.837,0.854,0.856,0.032,0,0.019,0.097,0.019,0,0.925,0.892,0.795,0.711,0.831,py,cs,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.851,0.873,0.881,,,,,,,,,,,,py,cs,4
explain-lbl -> translation (4 shot),0.847,0.858,0.86,0.02,0.003,0.023,0.094,0.013,0,0.944,0.919,0.763,0.763,0.847,py,cs,4
explain-lbl-simp -> translation (4 shot) (code frag),0.853,0.873,0.88,0.017,0,0.027,0.086,0.018,0,0.946,0.936,0.735,0.795,0.853,py,cs,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.843,0.862,0.87,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - Ruby,,,,,,,,,,,,,,,,,
baseline (0 shot),0.783,0.825,0.837,0,0.029,0.066,0.086,0.037,0,0.907,0.781,0.706,0.734,0.783,py,rb,0
explain -> translation,0.784,0.831,0.853,0,0.025,0.068,0.106,0.031,0,0.878,0.825,65,0.725,0.784,py,rb,0
explain -> translation (java),0.783,0.81,0.818,0,0.013,0.076,0.104,0.024,0,0.878,0.857,0.659,0.735,0.783,py,rb,0
explain-lbl -> translation ,0.8,0.83,0.838,0,0.017,0.051,0.116,0.016,0,0.879,0.801,0.7,0.816,0.8,py,rb,0
explain-lbl-simp -> translation ,0.827,0.849,0.854,0,0.01,0.031,0.113,0.019,0,0.874,0.847,0.731,0.855,0.827,py,rb,0
baseline (1 shot) ,0.842,0.877,0.884,0,0.031,0.013,0.075,0.025,0,0.9,0.9,0.7,0.925,0.842,py,rb,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,rb,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,rb,
baseline (4 shot),0.829,0.851,0.86,0,0.018,0.016,0.115,0.022,0,0.899,0.913,0.742,0.762,0.829,py,rb,4
explain -> translation (4 shot),0.796,0.834,0.844,,,,,,,,,,,,py,rb,4
explain -> translation (4 shot) (java),0.804,0.84,0.851,0,0.018,0.011,0.141,0.025,0,0.887,0.922,0.704,0.703,0.804,py,rb,4
explain (0 shot) -> translation (4 shot),0.797,0.832,0.844,,,,,,,,,,,0.803,py,rb,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.814,0.856,0.866,,,,,,,,,,,,py,rb,4
explain-lbl -> translation (4 shot),0.801,0.842,0.857,0,0.029,0.019,0.118,0.032,0,0.885,0.913,0.697,0.706,0.801,py,rb,4
explain-lbl-simp -> translation (4 shot) (code frag),0.806,0.837,0.849,0,0.02,0.026,0.123,0.025,0,0.918,0.903,0.71,0.691,0.806,py,rb,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.807,0.851,0.863,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - PHP,,,,,,,,,,,,,,,,,
baseline (0 shot),0.684,0.737,0.758,0,0.056,0.05,0.181,0,0.029,0.699,0.734,0.742,0.563,0.684,py,php,0
explain -> translation,0.764,0.782,0.787,0,0.075,0,0.143,0,0,0.78,0.825,0.825,0.65,0.764,py,php,0
explain -> translation (java),0.77,0.792,0.8,0,0.073,0,0.139,0,0.004,0.771,0.864,0.802,0.641,0.77,py,php,0
explain-lbl -> translation ,0.775,0.791,0.794,0,0.081,0.007,0.137,0,0,0.782,0.82,0.794,0.705,0.775,py,php,0
explain-lbl-simp -> translation ,0.776,0.785,0.787,0,0.08,0.007,0.137,0,0,0.796,0.815,0.82,0.674,0.776,py,php,0
baseline (1 shot) ,0.785,0.823,0.838,0,0.019,0.019,0.2,0,0,0.675,0.775,0.8,0.8,0.785,py,php,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,php,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,php,
baseline (4 shot),0.797,0.83,0.84,0,0.025,0.055,0.157,0,0,0.705,0.812,0.815,0.859,0.797,py,php,4
explain -> translation (4 shot),0.782,0.814,0.83,,,,,,,,,,,0.782,py,php,4
explain -> translation (4 shot) (java),0.764,0.782,0.787,,,,,,,,,,,0.764,py,php,4
explain (0 shot) -> translation (4 shot),0.784,0.826,0.844,0,0.022,0.017,0.145,0,0,0.79,0.846,0.828,0.823,0.817,py,php,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.786,0.82,0.832,,,,,,,,,,,,py,php,4
explain-lbl -> translation (4 shot),0.815,0.837,0.846,0,0.046,0.018,0.12,0,0,0.825,0.845,0.832,0.759,0.815,py,php,4
explain-lbl-simp -> translation (4 shot) (code frag),0.815,0.835,0.845,0,0.058,0.013,0.114,0,0,0.828,0.872,0.833,0.727,0.815,py,php,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.82,0.847,0.852,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Python - TypeScript,,,,,,,,,,,,,,,,,
baseline (0 shot),0.789,0.83,0.844,0.021,0,0.065,0.122,0,0.003,0.856,0.85,0.723,0.725,0.789,py,ts,0
explain -> translation,0.837,0.88,0.893,0.006,0,0.031,0.138,0,0,0.85,0.85,0.718,0.875,0.837,py,ts,0
explain -> translation (java),0.851,0.878,0.887,0.009,0,0.021,0.119,0,0,0.825,0.9,0.772,0.906,0.851,py,ts,0
explain-lbl -> translation ,0.847,0.877,0.883,0.011,0,0.017,0.125,0,0,0.83,0.915,0.777,0.866,0.847,py,ts,0
explain-lbl-simp -> translation ,0.852,0.875,0.883,0.014,0,0.019,0.117,0,0,0.839,0.899,0.785,0.884,0.852,py,ts,0
baseline (1 shot) ,0.84,0.871,0.876,0.013,0,0.025,0.133,0,0,0.85,0.875,0.744,0.846,0.84,py,ts,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,ts,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,ts,
baseline (4 shot),0.865,0.897,0.909,0,0,0.13,0.123,0,0,0.85,0.897,0.821,0.892,0.865,py,ts,4
explain -> translation (4 shot),0.874,0.897,0.901,,,,,,,,,,,0.874,py,ts,4
explain -> translation (4 shot) (java),0.865,0.885,0.889,0.002,0,0.009,0.124,0,0,0.866,0.908,0.786,0.903,0.865,py,ts,4
explain (0 shot) -> translation (4 shot),0.857,0.885,0.894,0.006,0,0.006,0.103,0,0,0.9,1,0.769,0.865,0.884,py,ts,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.883,0.895,0.901,,,,,,,,,,,,py,ts,4
explain-lbl -> translation (4 shot),0.871,0.899,0.906,0.004,0,0.011,0.114,0,0,0.852,0.962,0.781,0.892,0.871,py,ts,4
explain-lbl-simp -> translation (4 shot) (code frag),0.885,0.913,0.921,0.006,0,0.015,0.094,0,0,0.889,0.951,0.765,0.938,0.885,py,ts,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.883,0.913,0.922,0.006,0,0.014,0.097,0,0,0.889,0.947,0.777,0.909,0.883,py,ts,4
,,,,,,,,,,,,,,,,,
Python - JavaScript (157),,,,,,,,,,,,,,,,,
baseline (0 shot),0.855,0.893,0.903,0,0,0.006,0.106,0,0.006,0.902,0.925,0.825,0.875,0.855,py,js,0
explain -> translation,0.857,0.885,0.896,0,0,0.031,0.106,0,0,0.854,0.9,0.775,0.925,0.857,py,js,0
explain -> translation (java),0.848,0.882,0.891,0,0,0.036,0.116,0,0,0.851,0.878,0.77,0.891,0.848,py,js,0
explain-lbl -> translation ,0.843,0.876,0.886,0,0,0.025,0.133,0,0,0.832,0.896,0.779,0.864,0.843,py,js,0
explain-lbl-simp -> translation ,0.832,0.864,0.877,0,0,0.031,0.137,0,0,0.78,0.9,0.775,0.875,0.832,py,js,0
baseline (1 shot) ,0.862,0.899,0.91,0,0,0.019,0.106,0,0,0.825,0.95,0.85,0.875,0.862,py,js,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,py,js,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,py,js,
baseline (4 shot),0.866,0.907,0.92,0,0,0.019,0.14,0,0,0.825,0.821,0.821,0.897,0.866,py,js,4
explain -> translation (4 shot),0.851,0.867,0.875,,,,,,,,,,,0.851,py,js,4
explain -> translation (4 shot) (java),0.873,0.899,0.903,0,0,0.019,0.105,0,0,0.852,0.927,0.79,0.922,0.873,py,js,4
explain (0 shot) -> translation (4 shot),0.861,0.875,0.88,0,0,0.025,0.134,0,0,0.85,0.949,0.718,0.846,0.861,py,js,4
explain (0 shot) -> translation (4 shot) (coder-reviewer),0.889,0.897,0.898,,,,,,,,,,,0.889,py,js,4
explain-lbl -> translation (4 shot),0.876,0.886,0.89,0,0,0.019,0.105,0,0,0.828,0.977,0.768,0.94,0.876,py,js,4
explain-lbl-simp -> translation (4 shot) (code frag),0.879,0.894,0.898,0,0,0.02,0.102,0,0,0.859,0.949,0.765,0.941,0.879,py,js,4
explain-lbl-simp -> translation (4 shot) (no heuristic),0.878,0.892,0.897,,,,,,,,,,,0.878,,,
,,,,,,,,,,,,,,,,,
Lua - Python (144),,,,,,,,,,,,,,,,,
baseline (0 shot),0.895,0.927,0.94,0,0,0.042,0.063,0,0,0.925,0.829,0.912,0.912,0.895,lua,py,0
explain -> translation,0.859,0.885,0.892,0,0,0.049,0.076,0,0,0.925,0.781,0.816,0.971,0.859,lua,py,0
explain-lbl -> translation ,0.865,0.92,0.898,0,0,0.049,0.083,0,0,0.925,0.781,0.816,0.941,0.865,lua,py,0
explain-lbl-simp -> translation ,0.84,0.85,0.853,0,0,0.035,0.111,0,0,0.9,0.812,0.789,0.912,0.84,lua,py,0
baseline (1 shot) ,,,,,,,,,,,,,,,lua,py,
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,lua,py,
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,lua,py,
baseline (4 shot),0.885,0.919,0.927,0,0,0.043,0.057,0,0,0.925,0.833,0.914,0.914,0.885,lua,py,4
explain -> translation (4 shot),,,,0,0,0.021,0.064,0,0,0.975,0.867,0.857,0.943,,lua,py,4
explain (0 shot) -> translation (4 shot),0.893,0.907,0.912,0,0,0.021,0.093,0,0,0.925,0.9,0.829,0.886,0.893,lua,py,4
explain-lbl -> translation (4 shot),0.884,0.915,0.924,0,0,0.64,0.057,0,0,0.9,0.833,0.857,0.914,0.884,lua,py,4
explain-lbl-simp -> translation (4 shot),0.832,0.894,0.905,0,0,0.1,0.064,0,0,0.875,0.8,0.771,0.886,0.832,lua,py,4
,,,,,,,,,,,,,,,,,
Racket - Java (136),,,,,,,,,,,,,,,,,
baseline (0 shot),0.659,0.733,0.758,0.044,0.147,0.037,0.096,0.015,0,0.829,0.765,0.588,0.455,0.659,rkt,java,0
explain -> translation,0.771,0.824,0.838,0.029,0.029,0.037,0.132,0.015,0,0.886,0.824,0.824,0.485,0.771,rkt,java,0
explain-lbl -> translation ,0.744,0.814,0.839,0.022,0.044,0.044,0.154,0,0,0.886,0.794,0.706,0.545,0.744,rkt,java,0
explain-lbl-simp -> translation ,0.717,0.788,0.819,0.007,0.044,0.044,0.191,0.007,0,0.886,0.765,0.676,0.485,0.717,rkt,java,0
baseline (1 shot) ,0.796,0.867,0.887,0.007,0.007,0.007,0.148,0.007,0,0.943,0.853,0.906,0.588,0.796,rkt,java,4
explain-lbl -> translation (1 shot),,,,,,,,,,,,,,,rkt,java,4
explain-lbl-simp -> translation (1 shot),,,,,,,,,,,,,,,rkt,java,4
baseline (4 shot),0.864,0.905,0.921,0.008,0,0,0.129,0,0,0.909,0.909,0.909,0.727,0.864,rkt,java,4
explain (0 shot) -> translation (4 shot),0.842,0.877,0.887,0.008,0,0.015,0.129,0.008,0,0.879,0.909,0.939,0.636,0.842,rkt,java,4
explain-lbl -> translation (4 shot),0.808,0.842,0.851,0.015,0,0.023,0.159,0,0,,,,,0.808,rkt,java,4
explain-lbl-simp -> translation (4 shot),0.794,0.821,0.831,0.008,0,0.023,0.197,0,0,0.879,0.848,0.788,0.576,0.794,rkt,java,4
,,,,,,,,,,,,,,,,,
Julia - JavaScript (138),,,,,,,,,,,,,,,,,
baseline (0 shot),0.831,0.873,0.882,0,0,0.043,0.116,0,0,0.886,0.914,0.788,0.771,0.831,jl,js,0
explain -> translation,0.835,0.868,0.884,0,0,0.043,0.116,0,0,0.829,0.943,0.848,0.743,0.835,jl,js,0
explain-lbl -> translation ,0.82,0.848,0.861,0,0,0.036,0.13,0,0,0.859,0.971,0.788,0.714,0.82,jl,js,0
explain-lbl-simp -> translation ,0.804,0.836,0.849,0,0,0.051,0.152,0,0,0.857,0.914,0.788,0.629,0.804,jl,js,0
baseline (4 shot),0.874,0.915,0.927,0,0,0.007,0.119,0,0,0.914,0.969,0.879,0.735,0.874,jl,js,4
explain (0 shot) -> translation (4 shot),0.9,0.92,0.922,0,0,0,0.097,0,0,0.914,0.969,0.939,0.794,0.9,jl,js,4
explain-lbl -> translation (4 shot),0.871,0.904,0.909,0,0,0.007,0.112,0,0,0.857,1,0.909,0.765,0.871,jl,js,4
explain-lbl-simp -> translation (4 shot),0.883,0.909,0.914,0,0,0.007,0.104,0,0,0.914,0.938,0.97,0.735,0.883,jl,js,4
,,,,,,,,,,,,,,,,,
D - C++ (116),,,,,,,,,,,,,,,,,
baseline (0 shot),0.884,0.917,0.922,0,0.043,0.017,0.052,0,0,0.833,1,0.931,0.793,0.884,d,cpp,0
explain -> translation,0.814,0.842,0.853,0,0.052,0.043,0.078,0.009,0,0.833,0.893,0.862,0.69,0.814,d,cpp,0
explain-lbl -> translation ,0.805,0.853,0.865,0,0.043,0.035,0.113,0.009,0,0.8,0.893,0.862,0.655,0.805,d,cpp,0
explain-lbl-simp -> translation ,0.85,0.897,0.914,0,0.043,0.017,0.078,0.009,0,0.867,0.929,0.897,0.724,0.85,d,cpp,0
baseline (4 shot),0.884,0.918,0.929,0,0.019,0.009,0.087,0,0,0.833,0.967,0.962,0.793,0.884,d,cpp,4
explain (0 shot) -> translation (4 shot),0.863,0.889,0.892,0,0.009,0,0.98,0.009,0,0.929,0.897,0.926,0.786,0.863,d,cpp,4
explain-lbl -> translation (4 shot),0.817,0.853,0.862,0,0.018,0.009,0.17,0,0,0.857,0.828,0.852,679,0.817,d,cpp,4
